web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276293-7245","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Henrique Cardoso","L","Choke from back","Brasileiro","88KG","4F","2019","Ruan de Oliveira","Henrique Cardoso"
"1592276187-6708","https://www.bjjheroes.com/a-z-bjj-fighters-list","Amal","https://www.bjjheroes.com/?p=6481","","","","","","","","Amal Easton",""
"1592276298-7252","https://www.bjjheroes.com/a-z-bjj-fighters-list","Chris","https://www.bjjheroes.com/?p=6395","Unknown","W","RNC","Grapplers Quest","70KG","N/A","2009","Chris Holdsworth","RNC"
"1592276126-6595","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Aleksei Oleinik","W","Kneebar","Quintet Ultra","ABS","SPF","2019","Gordon Ryan","null"
"1592276265-7037","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","AJ Agazarm","L","Pts: 2x0","World Pro","77KG","R1","2016","Kevin Mahecha","AJ Agazarm"
"1592275965-6058","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Charles McGuire","W","Points","Chicago SM Open","O100KG","F","2018","Max Gimenis","null"
"1592275774-5779","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Paulo Miyao","L","Choke from back","Grand Slam AD","69KG","F","2019","Tiago Bravo","Paulo Miyao"
"1592276126-6573","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Evangelous Moumtzis","W","Armbar","NoGi Worlds","O97KG","R1","2018","Gordon Ryan","Armbar"
"1592275724-5666","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Igor Ferreira","W","RNC","Brasileiro Equipes","76KG","SF","2016","Breno Bittencourt","RNC"
"1592275965-6063","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Gordon Ryan","L","RNC","No Gi Pan Am.","O97KG","F","2018","Max Gimenis","Gordon Ryan"
"1592276107-6382","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Josh Hinger","L","DQ","Am. Nat. NoGi","82KG","SF","2014","Francisco Iturralde","Josh Hinger"
"1592276084-6276","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Paulo Henrique","W","Pts: 4x2","Brasileiro","76KG","R1","2018","Jhonny Loureiro","null"
"1592276097-6315","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Felipe Pena","L","Injury","World Pro","ABS","4F","2016","Dany Gerard","Felipe Pena"
"1592275774-5770","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Paulo Miyao","L","Pts: 5x0","Grand Slam AD","69KG","F","2018","Tiago Bravo","Paulo Miyao"
"1592275947-5961","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","R. Evangelista","W","Pts: 2x2, Adv","Grand Slam RJ","110KG","SF","2018","Fernando Reis","R. Evangelista"
"1592275874-5863","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Gianni Grippo","L","Referee Decision","FIVE Super League","70KG","F","2017","Jamil Hill-Taylor","Gianni Grippo"
"1592276293-7248","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Murilo Santana","W","Pts: 0x0, Adv","World Champ.","88KG","R1","2019","Ruan de Oliveira","Murilo Santana"
"1592275700-5576","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Jason Hayden","W","Inside heel hook","Sapateiro Inv.","ABS","SF","2016","Enrico Cocco","Inside heel hook"
"1592276311-7267","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Rodrigo Freitas","W","Kneebar","American Nat.","ABS","4F","2015","Evandro Nunes","Rodrigo Freitas"
"1592276293-7168","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Gustavo Adolfo","L","Wristlock","Grand Slam RJ","94KG","SF","2015","Ruan de Oliveira","null"
"1592276245-6942","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Edwin Najmi","L","Pts: 2x0","World Pro","77KG","SF","2017","Jonathan Satava","Edwin Najmi"
"1592275700-5561","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Jason Manly","W","Points","ADCC WC Trials","77KG","SF","2011","Enrico Cocco","null"
"1592276175-6700","https://www.bjjheroes.com/a-z-bjj-fighters-list","Darson","https://www.bjjheroes.com/?p=6493","Rodnei Barbosa","L","Points","Boston SM. Open","64KG","4F","2017","Darson Hemmings","Rodnei Barbosa"
"1592275802-5828","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","G. Kosztolanczy","W","Pts: 4x0","Budapest Open","O100KG","F","2019","Muslim Patsarigov","null"
"1592276107-6429","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Michael Liera","L","Triangle","Pan American","76KG","4F","2017","Francisco Iturralde","Michael Liera"
"1592275711-5644","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Eduardo Vieira","L","N/A","Brasilia Open","76KG","F","2017","Jan Buatim","null"
"1592276245-6946","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Gabriel Arges","L","Choke from back","World Champ.","82KG","8F","2017","Jonathan Satava","Gabriel Arges"
"1592276225-6813","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Marcos Tinoco","W","Choke from back","Dallas Open","88KG","F","2015","Alec Baulding","Marcos Tinoco"
"1592276107-6467","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Dom Hoskins","L","Referee Decision","F2W Pro 136","77KG","SPF","2020","Francisco Iturralde","null"
"1592276293-7180","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Juan Cleber","W","Botinha","Pan American","88KG","R1","2016","Ruan de Oliveira","Botinha"
"1592276265-7075","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Julio Tavares","W","Armbar","Miami Spring Open","76KG","4F","2018","Kevin Mahecha","Armbar"
"1592275947-5916","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Giovanne Guedes","W","Ezekiel","Gramado Open","94KG","F","2016","Fernando Reis","Ezekiel"
"1592276265-7096","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Benjamin Kunzle","W","Kneebar","Sub Stars","77KG","SF","2019","Kevin Mahecha","null"
"1592276293-7172","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","George Mello","W","Wrislock","Conde Koma Cup","94KG","F","2016","Ruan de Oliveira","null"
"1592276311-7281","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Morgan Neidlinger","W","Armbar","Gracie Nationals","ABS","F","2015","Evandro Nunes","Armbar"
"1592275965-6046","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Helton Jose","L","Referee Decision","ACB JJ Worlds","ABS","F","2017","Max Gimenis","Helton Jose"
"1592275827-5837","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ariadne","https://www.bjjheroes.com/?p=7077","","","","","","","","Ariadne Oliveira",""
"1592275624-5434","https://www.bjjheroes.com/a-z-bjj-fighters-list","Paul","https://www.bjjheroes.com/?p=7502","Ciro Oliveira","W","Pts: 9x2","Pan American","100KG","8F","2017","Paul Ardila-Ibarra","null"
"1592276144-6681","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Jake Shields","W","EBI/OT","SUG","ABS","SPF","2020","Richie Martinez","Jake Shields"
"1592275724-5679","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Yuri Simoes","L","Points","San Jose Open","ABS","SF","2017","Breno Bittencourt","Yuri Simoes"
"1592276265-7080","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Thiago Macedo","L","Pts: 2x0","American Nat.","70KG","SF","2018","Kevin Mahecha","Thiago Macedo"
"1592275965-6037","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Thomas MacMahon","W","Pts: 4x0","Miami Fall Open","O100KG","SF","2017","Max Gimenis","null"
"1592276097-6308","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Pedro Moura","W","Pts: 2x0","Pan American","O100KG","8F","2016","Dany Gerard","null"
"1592276097-6326","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Alexandro Ceconi","W","Pts: 7x2","Pan American","ABS","R1","2017","Dany Gerard","null"
"1592275700-5603","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Mauricio Gomez","W","Referee Decision","Sub Stars","77KG","SPF","2019","Enrico Cocco","null"
"1592275716-5661","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fabricio","https://www.bjjheroes.com/?p=7140","","","","","","","","Fabricio “Bicudo”",""
"1592276311-7278","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Unknown","W","Armbar","Gracie Nat. NoGi","ABS","SF","2015","Evandro Nunes","Armbar"
"1592276084-6301","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Yan Garcia","W","N/A","Curitiba SO","82KG","4F","2020","Jhonny Loureiro","null"
"1592276281-7124","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Murat Besnek","W","Pts: 2x0","World Pro","69KG","8F","2016","Brian Mahecha","null"
"1592276203-6745","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Andris Brunovskis","W","Referee Decision","Grand Slam LA","77KG","4F","2017","Yan “Pica-Pau” Lucas","Andris Brunovskis"
"1592276245-6939","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","AJ Agazarm","W","Pts: 9x0","WP US Qualifier","77KG","RR","2017","Jonathan Satava","AJ Agazarm"
"1592275802-5804","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Riku Urholin","L","Pts: 2x0","NoGi Finnish Open","O97KG","F","2016","Muslim Patsarigov","null"
"1592275724-5714","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","L. Muram","W","Botinha","Long Beach Open","82KG","SF","2019","Breno Bittencourt","Botinha"
"1592275700-5566","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","AJ Agazarm","L","Pts: 4x0","NoGi Worlds","ABS","R1","2013","Enrico Cocco","AJ Agazarm"
"1592275802-5817","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Riku Urholin","L","Points","European NoGi","100KG","SF","2017","Muslim Patsarigov","null"
"1592275947-5952","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Nelton Pontes","L","Pts: 2x0","World Champ.","100KG","4F","2018","Fernando Reis","Nelton Pontes"
"1592275605-5399","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Gustavo Soares","W","N/A","Charlotte Open","88KG","F","2018","Vinicius Garcia","null"
"1592275629-5455","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kristian","https://www.bjjheroes.com/?p=7476","Eduardo Barboza","L","Referee Decision","Washington SPO","57KG","F","2018","Kristian Woodmansee","Eduardo Barboza"
"1592275711-5651","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Fernando Latorre","W","Pts: 10x8","Miami Spring Open","82KG","SF","2018","Jan Buatim","null"
"1592276265-7038","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Gabriel Goulart","W","Pts: 2x2, Adv","Miami Spring Open","76KG","SF","2016","Kevin Mahecha","Gabriel Goulart"
"1592276144-6642","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Unknown","W","RNC","ADCC US Trials","77KG","R1","2015","Richie Martinez","RNC"
"1592276126-6510","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","4
1
1
1","0","0","ADCC","RR","Gordon Ryan","Lachlan Giles"
"1592276265-7047","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","G. Batista","L","Armbar","Guatemala Open","ABS","SPF","2016","Kevin Mahecha","Armbar"
"1592275700-5559","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Santino Franco","W","Inside heel hook","ADCC WC Trials","77KG","R1","2011","Enrico Cocco","Inside heel hook"
"1592276203-6775","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Celso Ricardo","W","N/A","Brasilia Open","82KG","4F","2018","Yan “Pica-Pau” Lucas","null"
"1592275774-5731","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Yuta Kuwahara","W","Armbar","World Pro","65KG","R1","2015","Tiago Bravo","Armbar"
"1592275605-5408","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Hunter Ewald","L","Pts: 8x8, Adv","American Nats","88KG","SF","2019","Vinicius Garcia","Hunter Ewald"
"1592275711-5621","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Pedro Martins","L","Points","Brasilia Open","76KG","SF","2016","Jan Buatim","null"
"1592276245-6945","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Leandro Kussano","W","Pts: 8x0","World Champ.","82KG","R1","2017","Jonathan Satava","null"
"1592275774-5784","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Victor Matos","W","Pts: 2x2, Adv","Grand Slam LDN","69KG","4F","2019","Tiago Bravo","null"
"1592275724-5700","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Dustin Akbari","L","Points","San Jose NGO","79KG","SF","2018","Breno Bittencourt","null"
"1592276293-7236","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Joao Oliveira","W","Choke from back","South Brazilian","88KG","SF","2019","Ruan de Oliveira","Choke from back"
"1592275947-5979","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Jeancemy Santos","W","Choke from back","Rio Open","94KG","F","2019","Fernando Reis","Choke from back"
"1592276084-6232","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Jair Neto","W","Pts: 4x2","Floripa Open","82KG","4F","2015","Jhonny Loureiro","null"
"1592276225-6865","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","K. Boehm","W","Referee Decision","ADCC EC Trials","88KG","R1","2018","Alec Baulding","null"
"1592276084-6254","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Caio Almeida","W","Leglock","Gramado NoGi","79KG","F","2016","Jhonny Loureiro","Caio Almeida"
"1592275984-6202","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Diego Pereira","W","Pts: 0x0, Adv","Brasileiro Equipes","94KG","R1","2016","Cassio Francis","null"
"1592276139-6619","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Rodrigo Cavaca","L","Triangle","Pan American","ABS","4F","2010","Marcel Fortuna","Rodrigo Cavaca"
"1592276126-6524","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Rustam Chsiev","W","EBI/OT","EBI 6","ABS","F","2016","Gordon Ryan","null"
"1592275810-5835","https://www.bjjheroes.com/a-z-bjj-fighters-list","Wagner","https://www.bjjheroes.com/?p=7103","","","","","","","","Wagner Mota",""
"1592275874-5902","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Johnny Tama","W","Adv","NY Spring Open","76KG","F","2019","Jamil Hill-Taylor","Johnny Tama"
"1592275724-5682","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Douglas Kallin","W","Choke from back","Atlanta SM Open","82KG","SF","2017","Breno Bittencourt","Choke from back"
"1592276281-7116","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Jose Portillo","W","Referee Decision","Houston Nat. Pro","O77KG","SF","2015","Brian Mahecha","null"
"1592275711-5623","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Luciano Bernert","L","Pts: 8x8, Adv","Floripa Open","82KG","SF","2016","Jan Buatim","null"
"1592276265-7101","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Thiago Lemos","W","Pts: 4x2","Las Vegas Open","76KG","4F","2019","Kevin Mahecha","null"
"1592275774-5790","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Isaac Doederlein","L","Pts: 2x2, Adv","King of Mats","69KG","RR","2019","Tiago Bravo","Isaac Doederlein"
"1592276281-7112","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Marcel Goncalves","L","Referee Decision","Miami Open","76KG","SF","2015","Brian Mahecha","Marcel Goncalves"
"1592275700-5575","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Adam Collarlie","W","Outside heel hook","Sapateiro Inv.","ABS","4F","2016","Enrico Cocco","Outside heel hook"
"1592275802-5830","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Antonio Junior","W","Pts: 2x2, Adv","World Pro","110KG","RPC","2019","Muslim Patsarigov","null"
"1592275984-6156","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Cássio Lisboa","W","Wristlock","Brasileiro Sud.","ABS","F","2013","Cassio Francis","null"
"1592276107-6454","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Vagner Rocha","W","Referee Decision","W.S.O.G.","81KG","8F","2018","Francisco Iturralde","Vagner Rocha"
"1592276265-7087","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Rene Arango","W","Points","Miami Fall Open","76KG","4F","2018","Kevin Mahecha","null"
"1592275629-5462","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kristian","https://www.bjjheroes.com/?p=7476","Andres Poveda","L","Choke","NY Fall Open","57KG","F","2018","Kristian Woodmansee","null"
"1592276265-7102","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Alexandre Molinaro","L","Pts: 4x2","Las Vegas Open","76KG","SF","2019","Kevin Mahecha","Alexandre Molinaro"
"1592276281-7131","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Rubens Charles","L","Choke from back","Pan American","70KG","4F","2017","Brian Mahecha","Rubens Charles"
"1592275711-5656","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Thales Oliveira","W","Points","BH Sp Open","ABS","R1","2018","Jan Buatim","null"
"1592276298-7256","https://www.bjjheroes.com/a-z-bjj-fighters-list","Chris","https://www.bjjheroes.com/?p=6395","Rodrigo Ranieri","W","Triangle","UFC Expo","65KG","F","2009","Chris Holdsworth","Rodrigo Ranieri"
"1592276265-7035","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Andre Arruda","W","Toe hold","World Pro","ABS","R1","2016","Kevin Mahecha","Toe hold"
"1592275984-6208","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","I. Bahiense","L","Pts: 5x2","Copa Podio","105KG","RR","2016","Cassio Francis","null"
"1592275984-6166","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Gabriel Lucas","L","Pts: 3x0","Rio BJJ Pro","O94KG","SF","2014","Cassio Francis","Gabriel Lucas"
"1592276293-7179","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Cassio Francis","L","Kneebar","Rio Summer Open","ABS","F","2016","Ruan de Oliveira","Cassio Francis"
"1592276139-6605","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Roberto Abreu","L","Adv","Pan American","100KG","SF","2008","Marcel Fortuna","Roberto Abreu"
"1592275649-5521","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Burak Sarman","W","Referee Decision","World Pro","77KG","RPC","2018","Ilke Bulut","null"
"1592275624-5435","https://www.bjjheroes.com/a-z-bjj-fighters-list","Paul","https://www.bjjheroes.com/?p=7502","Rodrigo Cavaca","L","Pts: 10x0","Pan American","100KG","SF","2017","Paul Ardila-Ibarra","Rodrigo Cavaca"
"1592276144-6654","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Ryan Robinson","W","Heel hook","FTW Pro 5","ABS","SPF","2016","Richie Martinez","Heel hook"
"1592276107-6399","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Jaime Canuto","L","Armbar","World Champ.","82KG","8F","2015","Francisco Iturralde","Jaime Canuto"
"1592275973-6128","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","David Herrera","W","Armbar","Rio Open","57KG","F","2018","José Carlos Lima","Armbar"
"1592276107-6466","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Igor Schneider","L","Pts: 11x2","World Champ.","ABS","R1","2019","Francisco Iturralde","Igor Schneider"
"1592275774-5760","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Ilke Bulut","L","Pts: 0x0, Adv","Grand Slam LDN","77KG","SF","2017","Tiago Bravo","Ilke Bulut"
"1592275724-5708","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Inseong Jang","W","Pts: 2x2, Adv","Pan American","76KG","8F","2019","Breno Bittencourt","Inseong Jang"
"1592275973-6125","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Andre Verdemare","W","Pts: 2x0","Grand Slam LDN","56KG","RR","2018","José Carlos Lima","null"
"1592276144-6647","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Jose Lianas","W","EBI/OT","Onnit Invit.","ABS","SF","2015","Richie Martinez","null"
"1592276265-7018","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Vitor Paschoal","W","Points","American Nat.","76KG","SF","2015","Kevin Mahecha","null"
"1592276225-6810","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Pedro Palhares","W","Points","Atlanta Open","ABS","4F","2015","Alec Baulding","null"
"1592276293-7201","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Fabio Oliveira","W","Triangle","Brasileiro NoGi","85KG","4F","2016","Ruan de Oliveira","Triangle"
"1592276293-7192","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Inacio Neto","W","Triangle armbar","World Champ.","88KG","R1","2016","Ruan de Oliveira","Inacio Neto"
"1592276097-6335","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Luiz Panza","L","Pts: 2x0","World Champ.","100KG","4F","2017","Dany Gerard","Luiz Panza"
"1592275774-5744","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Daisuke Shiraki","W","Referee Decision","Grand Slam TYO","69KG","F","2016","Tiago Bravo","null"
"1592275874-5844","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","L","L","0","1
1



1","0","Pans","RR","Jamil Hill-Taylor","Gianni Grippo"
"1592276265-7077","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Wellington Dias","W","Pts: 5x0","World Champ.","70KG","R1","2018","Kevin Mahecha","Wellington Dias"
"1592276139-6611","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Braga Neto","L","Points","California Open","ABS","SF","2010","Marcel Fortuna","Braga Neto"
"1592276281-7121","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Andre Monteiro","W","Pts: 4x2","Atlanta W. Open","70KG","F","2016","Brian Mahecha","Andre Monteiro"
"1592276126-6507","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","1","0","0","Kinektic","RR","Gordon Ryan","Gui Vasconcelos"
"1592275965-6068","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Fernando Reis","L","Referee Decision","Grand Slam RJ","110KG","R1","2018","Max Gimenis","Fernando Reis"
"1592276293-7222","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Edson Antonio","W","Pts: 6x0","Brasileiro","82KG","8F","2018","Ruan de Oliveira","null"
"1592276265-7044","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Rodrigo Barros","W","Armbar","Guatemala Open","76KG","4F","2016","Kevin Mahecha","Armbar"
