web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592275947-5963","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Richard Goncalves","W","N/A","Curitiba SM. Open","100KG","4F","2019","Fernando Reis","null"
"1592275649-5486","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Oliver Geddes","W","Wristlock","Munich NoGi","76KG","F","2015","Ilke Bulut","Oliver Geddes"
"1592275947-5946","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Felipe Simao","L","Pts: 2x0","Curitiba Open","100KG","F","2018","Fernando Reis","null"
"1592276265-7002","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","AJ Agazarm","L","Points","World Pro Trials","86KG","SF","2015","Kevin Mahecha","AJ Agazarm"
"1592275711-5624","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Rodrigo Conceicao","L","Points","Grand Slam RJ","77KG","R2","2016","Jan Buatim","Rodrigo Conceicao"
"1592275774-5733","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Hiroaki Otsuka","W","Points","Grand Slam TYO","69KG","SF","2015","Tiago Bravo","null"
"1592275774-5755","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","S. Canquerino","W","Pts: 2x0","Sharjah Pro","77KG","F","2017","Tiago Bravo","null"
"1592275947-5982","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Horlando Monteiro","W","Pts: 2x0","SP BJJ Pro","94KG","4F","2019","Fernando Reis","Horlando Monteiro"
"1592275605-5389","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Alec Baulding","L","Pts: 10x2","World Champ.","82KG","R1","2017","Vinicius Garcia","Alec Baulding"
"1592275984-6163","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Antonio Peinado","L","Adv","World Pro Trial","94KG","SF","2014","Cassio Francis","Antonio Peinado"
"1592275724-5712","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Leo Silva","L","Referee Decision","F2W Pro 123","77KG","SPF","2019","Breno Bittencourt","Leo Silva"
"1592276281-7140","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Tomoshige Sera","W","Pts: 4x4, Adv","European Open","70KG","R1","2018","Brian Mahecha","null"
"1592276126-6553","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Craig Jones","W","Katagatame","ADCC","ABS","4F","2017","Gordon Ryan","Craig Jones"
"1592276139-6606","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Unknown","W","Points","World Champ.","100KG","4F","2008","Marcel Fortuna","null"
"1592276084-6270","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Claudevan Oliveira","W","Pts: 2x0","WP BR Qualifier","77KG","SF","2017","Jhonny Loureiro","null"
"1592276084-6261","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Alexandre Oliveira","L","Submission","Curitiba Pro","77KG","F","2016","Jhonny Loureiro","null"
"1592276203-6769","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Felipe Matos","L","N/A","Manaus Open","ABS","F","2018","Yan “Pica-Pau” Lucas","null"
"1592276084-6257","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Phillipe Arimatea","W","Straight ankle lock","Grand Slam RJ","77KG","4F","2016","Jhonny Loureiro","Straight ankle lock"
"1592275973-6135","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Andrea Verdemare","W","Choke from back","World Pro","56KG","RR","2018","José Carlos Lima","Choke from back"
"1592276097-6350","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Joseph Moku","W","DQ","Los Angeles Open","O100KG","SF","2018","Dany Gerard","null"
"1592276225-6859","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Josh Hinger","L","Pts: 6x6, Pen","World Champ.","82KG","R2","2018","Alec Baulding","Josh Hinger"
"1592276107-6406","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Rafael Benedito","W","Pts: 2x2, Adv","NoGi Worlds","73KG","8F","2015","Francisco Iturralde","null"
"1592275947-5933","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Erberth Santos","L","Choke from back","Curitiba Fall Open","ABS","SF","2017","Fernando Reis","Erberth Santos"
"1592276126-6567","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Josh Barnett","W","Triangle","Quintet 3","ABS","SF","2018","Gordon Ryan","Triangle"
"1592276245-6909","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Luan Carvalho","L","Referee Decision","World Pro","77KG","8F","2016","Jonathan Satava","Luan Carvalho"
"1592275984-6212","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Alexandre Cavaliere","W","Kneebar","Brasilia Open","ABS","SF","2017","Cassio Francis","Alexandre Cavaliere"
"1592276107-6456","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Ronaldo S.","W","Referee Decision","W.S.O.G.","81KG","SF","2018","Francisco Iturralde","null"
"1592276245-6954","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Phillip Augusto","W","RNC","NoGi Worlds","79KG","R2","2017","Jonathan Satava","RNC"
